"fipscodes","name","totpop","number_disasters","incl_1372","incl_1396","incl_1501","incl_1552","incl_1613","incl_1798","incl_1919","incl_1946","incl_4004","incl_4017","incl_4040","incl_4336","incl_4339","pa_1372","pa_1396","pa_1501","pa_1552","pa_1613","pa_1798","pa_1919","pa_1946","pa_4004","pa_4017","pa_4040","pa_4336","pa_4339","hmgp_1372","hmgp_1396","hmgp_1501","hmgp_1552","hmgp_1613","hmgp_1798","hmgp_1919","hmgp_1946","hmgp_4004","hmgp_4017","hmgp_4040","hmgp_4336","hmgp_4339","pdm_tot","es_1372","es_1396","es_1501","es_1552","es_1613","es_1798","es_1919","es_1946","es_4004","es_4017","es_4040","es_4336","es_4339","as_1372","as_1396","as_1501","as_1552","as_1613","as_1798","as_1919","as_1946","as_4004","as_4017","as_4040","as_4336","as_4339","r_1372","r_1396","r_1501","r_1552","r_1613","r_1798","r_1919","r_1946","r_4004","r_4017","r_4040","r_4336","r_4339","tot_percap_mil","tot_percap_dollar","maria_percap_mil","maria_percap_dollar"
"43","Coamo",40090,5,0,0,1,1,0,0,1,0,0,1,0,0,1,NA,NA,0.255,0.018,NA,NA,0.185,NA,NA,0.372,NA,NA,4.151,NA,NA,0,0,0.030614,0.01875,0,NA,NA,0,NA,NA,0,NA,NA,NA,5.54860475405057e-06,6.41619743949725e-06,NA,NA,9.66702209570352e-06,NA,NA,1.81757235514525e-05,NA,NA,0.000138409949608785,0,0,6.36068845098528e-06,4.48989773010726e-07,7.63631828386131e-07,4.67697680219506e-07,4.61461711149913e-06,0,0,9.279121975555e-06,0,0,0.000103542030431529,NA,NA,1.14635818064747,0.0699775493576312,NA,NA,0.477356632250802,NA,NA,0.51052283829512,NA,NA,0.748082278219091,2.19347468196558e-05,21.9347468196558,0.000115449155207054,115.449155207054
"45","Comerío",20153,4,0,0,0,1,0,0,0,0,0,1,0,1,1,NA,NA,NA,0.186,NA,NA,NA,NA,NA,0.224,NA,0.064,2.912,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,6.41619743949725e-06,NA,NA,NA,NA,NA,1.81757235514525e-05,NA,3.47472964552033e-06,0.000138409949608785,0,0,0,9.22939512727634e-06,0,0,0,0,0,1.11149704758597e-05,0,3.17570585024562e-06,0.000144494616186176,NA,NA,NA,1.43845248128766,NA,NA,NA,NA,NA,0.611528363335578,NA,0.913943291772292,1.04396119350227,2.35200714533816e-05,23.5200714533816,0.000144494616186176,144.494616186176
"47","Corozal",35484,5,0,1,0,1,0,0,1,0,0,1,0,0,1,NA,0.125,NA,0.098,NA,NA,0.225,0.058,NA,0.159,NA,NA,3.462,NA,0,NA,0,NA,0.725032,0,NA,NA,0,NA,NA,0,NA,NA,5.78057740497768e-06,NA,6.41619743949725e-06,NA,NA,9.66702209570352e-06,NA,NA,1.81757235514525e-05,NA,NA,0.000138409949608785,0,3.5227144628565e-06,0,2.7618081388795e-06,0,2.04326456994702e-05,6.3408860331417e-06,1.63453951076542e-06,0,4.48089279675347e-06,0,0,9.75650997632736e-05,NA,0.609405292250403,NA,0.430443134726213,NA,NA,0.655929610004707,NA,NA,0.246531742412828,NA,NA,0.704899467408529,3.91734866418668e-05,39.1734866418668,0.000116050321553509,116.050321553509
"49","Culebra",1508,5,0,0,1,1,0,0,0,0,0,1,0,1,1,NA,NA,0.128,0.051,NA,NA,NA,NA,NA,0.039,NA,0.043,0.19,NA,NA,0,0.051223,NA,NA,NA,NA,NA,1.664306,NA,0,0,NA,NA,NA,5.54860475405057e-06,6.41619743949725e-06,NA,NA,NA,NA,NA,1.81757235514525e-05,NA,3.47472964552033e-06,0.000138409949608785,0,0,8.48806366047745e-05,6.77871352785146e-05,0,0,0,0,0,0.00112951326259947,0,2.85145888594164e-05,0.000125994694960212,NA,NA,15.2976541612214,10.5650014541676,NA,NA,NA,NA,NA,62.1440604222441,NA,8.20627552885384,0.910300851321281,0.00131069562334218,1310.69562334218,0.000125994694960212,125.994694960212
"51","Dorado",38013,4,0,0,0,1,0,0,1,0,0,0,0,1,1,NA,NA,NA,0.086,NA,NA,0.226,NA,NA,NA,NA,0,3.296,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,0,0.045,NA,NA,NA,6.41619743949725e-06,NA,NA,9.66702209570352e-06,NA,NA,NA,NA,3.47472964552033e-06,0.000138409949608785,0,0,0,2.26238392129008e-06,0,0,5.94533449083208e-06,0,0,0,0,0,8.67071791229316e-05,NA,NA,NA,0.35260509711923,NA,NA,0.615011989418589,NA,NA,NA,NA,0,0.626451923203565,9.3915239523321e-06,9.3915239523321,0.000102886170242248,102.886170242248
"53","Fajardo",33912,5,0,0,1,1,0,0,0,0,0,1,0,1,1,NA,NA,0,0.374,NA,NA,NA,NA,NA,0.653,NA,0,3.403,NA,NA,0,0,NA,NA,NA,NA,NA,0.03,NA,0,0,NA,NA,NA,5.54860475405057e-06,6.41619743949725e-06,NA,NA,NA,NA,NA,1.81757235514525e-05,NA,3.47472964552033e-06,0.000138409949608785,0,0,0,1.10285444680349e-05,0,0,0,0,0,2.01403632932295e-05,0,0,0.000100347959424393,NA,NA,0,1.71885989669593,NA,NA,NA,NA,NA,1.10809141854603,NA,0,0.725005389482663,3.11689077612644e-05,31.1689077612644,0.000100347959424393,100.347959424393
"54","Florida",12287,2,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,0.006,NA,NA,NA,NA,NA,NA,NA,NA,1.083,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,6.41619743949725e-06,NA,NA,NA,NA,NA,NA,NA,NA,0.000138409949608785,0,0,0,4.88320989663872e-07,0,0,0,0,0,0,0,0,8.8141938634329e-05,NA,NA,NA,0.0761075378787183,NA,NA,NA,NA,NA,NA,NA,NA,0.636817937463759,4.88320989663872e-07,0.488320989663872,8.8141938634329e-05,88.141938634329
"55","Guanica",17788,6,1,0,1,1,0,1,0,1,0,0,0,0,1,0.158,NA,0.181,0.01,NA,0.089,NA,0.204,NA,NA,NA,NA,2.417,0,NA,0.725287,0,NA,0.0375,NA,0,NA,NA,NA,NA,0,NA,9.37960022366628e-06,NA,5.54860475405057e-06,6.41619743949725e-06,NA,1.92358146098878e-05,NA,2.33144978822186e-05,NA,NA,NA,NA,0.000138409949608785,8.88239262424106e-06,0,5.09493478749719e-05,5.62176748369687e-07,0,7.11153586687655e-06,0,1.14684056667416e-05,0,0,0,0,0.000135878120080953,0.946990533970661,NA,9.18237108847555,0.0876183679930114,NA,0.369702869938298,NA,0.49190017836448,NA,NA,NA,NA,0.981707749081715,7.89738587812008e-05,78.9738587812008,0.000135878120080953,135.878120080953
"57","Guayama",43210,6,0,0,1,1,0,1,0,1,0,1,0,0,1,NA,NA,0.359,0,NA,0.497,NA,0.051,NA,0.274,NA,NA,5.329,NA,NA,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,5.54860475405057e-06,6.41619743949725e-06,NA,1.92358146098878e-05,NA,2.33144978822186e-05,NA,1.81757235514525e-05,NA,NA,0.000138409949608785,0,0,8.30826197639435e-06,0,0,1.15019671372368e-05,0,1.18028234205045e-06,0,6.3411247396436e-06,0,0,0.000123327933348762,NA,NA,1.49736056984942,0,NA,0.597945414348317,NA,0.0506243946583393,NA,0.348878806485635,NA,NA,0.891033727686109,2.73316361953252e-05,27.3316361953252,0.000123327933348762,123.327933348762
"59","Guayanilla",20025,5,1,0,0,1,1,1,0,0,0,0,0,0,1,0.217,NA,NA,0.006,0.053,0.149,NA,NA,NA,NA,NA,NA,5.458,0,NA,NA,0,0,0.01875,NA,NA,NA,NA,NA,NA,0,NA,9.37960022366628e-06,NA,NA,6.41619743949725e-06,1.29621043732017e-05,1.92358146098878e-05,NA,NA,NA,NA,NA,NA,0.000138409949608785,1.083645443196e-05,0,0,2.99625468164794e-07,2.64669163545568e-06,8.37702871410737e-06,0,0,0,0,0,0,0.000272559300873908,1.15532156739665,NA,NA,0.0466982930295037,0.204186878862628,0.435491237776919,NA,NA,NA,NA,NA,NA,1.96921754284498,2.21598002496879e-05,22.1598002496879,0.000272559300873908,272.559300873908
